FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,43.559045,,
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,43.739205,,
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,42.245617,,
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,42.542977,,
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,44.813181,,
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,44.914683,,
A,Annuale,ITE1,Toscana,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,45.716216,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,39.34994,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,41.587207,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,40.733483,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,41.468083,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,41.428241,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,42.267565,,
A,Annuale,ITE2,Umbria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,44.552534,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,41.04709,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,41.784049,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,40.313454,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,40.517464,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,43.131622,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,43.700079,,
A,Annuale,ITE3,Marche,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,44.604239,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,40.106054,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,40.476916,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,38.727271,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,39.077205,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,40.412337,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,41.179835,,
A,Annuale,ITE4,Lazio,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,41.701376,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,33.805616,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,34.83866,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,33.111825,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,34.119797,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,34.935312,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,37.920644,,
A,Annuale,ITF1,Abruzzo,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,37.828621,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,30.560038,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,31.801241,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,30.798416,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,28.595589,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,31.842913,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,33.327573,,
A,Annuale,ITF2,Molise,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,34.003977,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,23.319756,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,23.289068,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,22.142822,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,22.69733,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,23.728788,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,24.152287,,
A,Annuale,ITF3,Campania,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,25.070098,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,24.777357,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,24.801264,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,24.279947,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,25.194139,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,26.152131,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,27.201173,,
A,Annuale,ITF4,Puglia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,27.55904,,
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,27.800761,,
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,28.166621,,
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,27.684326,,
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,29.806355,,
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,29.379563,,
