FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,HOLDER_SECTOR_PUBPRIV,Settore del titolare,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_HOLDER_SECTOR_PUBPRIV,Settore del titolare (NOTE_HOLDER_SECTOR_PUBPRIV),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2019,28.4,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2020,29.2,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2021,30.7,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2022,31.9,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2023,33.8,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD4,Friuli-Venezia Giulia,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2013,22,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD4,Friuli-Venezia Giulia,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2014,23.1,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD4,Friuli-Venezia Giulia,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2015,24.1,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD4,Friuli-Venezia Giulia,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2016,25.3,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD4,Friuli-Venezia Giulia,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2017,27.6,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
