FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2024,86.852509,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2018,76.315143,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2019,76.574738,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2020,74.101443,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2021,75.169662,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2022,77.176592,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,76.788935,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,78.619546,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2018,88.066842,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2019,88.323706,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2020,87.418129,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2021,87.590637,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2022,89.606086,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2023,90.31824,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-49,35-49 anni,7,Diploma,2024,90.017836,,
