FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,10.115934,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,8.970857,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,6.112841,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,6.773193,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,4.195798,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,12.842452,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,12.078539,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,14.628206,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,10.606219,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,8.584764,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,8.164696,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,7.474565,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,11.336168,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,10.3084,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,12.078346,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,9.677784,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,7.19052,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,7.377604,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,5.587487,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,10.831724,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,9.761504,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,8.77918,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,8.922319,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,6.945882,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,7.344332,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,6.465463,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,15.960374,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,13.247839,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,12.599803,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,11.902551,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,10.208808,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,10.072846,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,8.530409,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,13.227987,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,11.300243,,
A,Annuale,ITD4,Friuli-Venezia Giulia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,10.420574,,
