FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,POSIZ_PROF,Posizione professionale,PERM_TEMP_EMPLOYEES,Carattere occupazione dipendente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2018,260.819,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2019,267.726,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2020,259.655,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2021,268.607,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2022,269.863,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2023,284.887,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,9,Totale,2024,290.417,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,389.037,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,390.942,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,395.734,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,398.337,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,402.976,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,414.732,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,409.562,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2018,481.682,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2019,473.786,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2020,469.082,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2021,471.86,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2022,486.381,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2023,500.463,,
A,Annuale,ITE3,Marche,9,Totale,1,Dipendenti,9,Totale,2024,495.312,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,1564.319,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,1562.692,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,1541.835,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,1541.418,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,1583.823,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,1589.899,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,1656.711,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2018,1838.246,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2019,1847.848,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2020,1790.147,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2021,1811.46,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2022,1867.94,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2023,1906.791,,
A,Annuale,ITE4,Lazio,9,Totale,1,Dipendenti,9,Totale,2024,1925.634,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,301.944,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,304.487,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,295.678,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,295.124,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,282.087,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,313.193,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,325.269,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2018,368.75,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2019,379.255,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2020,358.753,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2021,368.474,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2022,368.643,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2023,390.316,,
A,Annuale,ITF1,Abruzzo,9,Totale,1,Dipendenti,9,Totale,2024,389.683,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,63.89,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,61.915,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,62.473,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,58.283,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,59.179,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,61.066,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,64.329,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2018,76.057,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2019,74.648,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2020,72.308,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2021,71.139,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2022,74.227,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2023,75.567,,
A,Annuale,ITF2,Molise,9,Totale,1,Dipendenti,9,Totale,2024,76.468,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,996.97,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,979.239,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,971.496,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,930.26,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,976.183,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,1025.619,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,1060.179,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2018,1222.273,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2019,1227.541,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2020,1187.847,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2021,1198.098,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2022,1253.34,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2023,1281.449,,
A,Annuale,ITF3,Campania,9,Totale,1,Dipendenti,9,Totale,2024,1304.751,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,696.33,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,708.925,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,706.348,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,711.959,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,750.123,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,773.041,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,783.2,,
A,Annuale,ITF4,Puglia,9,Totale,1,Dipendenti,9,Totale,2018,907.496,,
